   1.2336866e-01   0.0000000e+00   3.9933010e-01   2.1701684e-01
   2.1701684e-01   2.0150209e-02   3.9933010e-01   2.8739264e-01
   2.8739264e-01   1.2200203e-01   3.9933010e-01   3.3883617e-01
   3.3883617e-01   2.1221974e-01   3.9933010e-01   3.7447673e-01
   3.7447673e-01   2.9153612e-01   3.9933010e-01   3.9871320e-01
   3.9871320e-01   3.3137386e-01   3.9933010e-01   4.1515814e-01
   4.1515814e-01   3.5365606e-01   3.9933010e-01   4.2613131e-01
   4.2613131e-01   3.7107052e-01   3.9933010e-01   4.3317137e-01
   4.3317137e-01   3.8463447e-01   3.9933010e-01   4.3738921e-01
   4.3738921e-01   3.9431232e-01   3.9933010e-01   4.3961959e-01
   4.3961959e-01   4.0070107e-01   3.9933010e-01   4.4049448e-01
   4.4049448e-01   4.0454901e-01   3.9933010e-01   4.4048722e-01
   4.4048722e-01   4.0654918e-01   3.9933010e-01   4.3994492e-01
   4.3994492e-01   4.0727401e-01   3.9933010e-01   4.3911507e-01
   4.3911507e-01   4.0716842e-01   3.9933010e-01   4.3816780e-01
   4.3816780e-01   4.0656379e-01   3.9933010e-01   4.3721455e-01
   4.3721455e-01   4.0569744e-01   3.9933010e-01   4.3632343e-01
   4.3632343e-01   4.0473222e-01   3.9933010e-01   4.3553145e-01
   4.3553145e-01   4.0377400e-01   3.9933010e-01   4.3485422e-01
   4.3485422e-01   4.0288651e-01   3.9933010e-01   4.3429326e-01
   4.3429326e-01   4.0210341e-01   3.9933010e-01   4.3384145e-01
   4.3384145e-01   4.0143778e-01   3.9933010e-01   4.3348693e-01
   4.3348693e-01   4.0088932e-01   3.9933010e-01   4.3321578e-01
   4.3321578e-01   4.0044972e-01   3.9933010e-01   4.3301383e-01
   4.3301383e-01   4.0010635e-01   3.9933010e-01   4.3286770e-01
   4.3286770e-01   3.9984494e-01   3.9933010e-01   4.3276546e-01
   4.3276546e-01   3.9965116e-01   3.9933010e-01   4.3269683e-01
   4.3269683e-01   3.9951168e-01   3.9933010e-01   4.3265330e-01
   4.3265330e-01   3.9941469e-01   3.9933010e-01   4.3262797e-01
   4.3262797e-01   3.9935010e-01   2.2165969e-01   3.7785949e-01
   3.7785949e-01   3.9930959e-01   2.2165969e-01   3.3658190e-01
   3.3658190e-01   3.8561431e-01   2.2165969e-01   3.0634906e-01
   3.0634906e-01   3.3228551e-01   2.2165969e-01   2.8490049e-01
   2.8490049e-01   2.9243173e-01   2.2165969e-01   2.6994227e-01
   2.6994227e-01   2.6805544e-01   2.2165969e-01   2.5965915e-01
   2.5965915e-01   2.5182124e-01   2.2165969e-01   2.5272133e-01
   2.5272133e-01   2.4045559e-01   2.2165969e-01   2.4816042e-01
   2.4816042e-01   2.3257148e-01   2.2165969e-01   2.4527105e-01
   2.4527105e-01   2.2722498e-01   2.2165969e-01   2.4354012e-01
   2.4354012e-01   2.2371709e-01   2.2165969e-01   2.4259597e-01
   2.4259597e-01   2.2152256e-01   2.2165969e-01   2.4217168e-01
   2.4217168e-01   2.2024640e-01   2.2165969e-01   2.4207790e-01
   2.4207790e-01   2.1959471e-01   2.2165969e-01   2.4218258e-01
   2.4218258e-01   2.1935253e-01   2.2165969e-01   2.4239567e-01
   2.4239567e-01   2.1936600e-01   2.2165969e-01   2.4265751e-01
   2.4265751e-01   2.1952772e-01   2.2165969e-01   2.4293013e-01
   2.4293013e-01   2.1976491e-01   2.2165969e-01   2.4319072e-01
   2.4319072e-01   2.2003004e-01   2.2165969e-01   2.4342683e-01
   2.4342683e-01   2.2029356e-01   2.2165969e-01   2.4363287e-01
   2.4363287e-01   2.2053840e-01   2.2165969e-01   2.4380760e-01
   2.4380760e-01   2.2075591e-01   2.2165969e-01   2.4395242e-01
   2.4395242e-01   2.2094292e-01   2.2165969e-01   2.4407014e-01
   2.4407014e-01   2.2109964e-01   2.2165969e-01   2.4416421e-01
   2.4416421e-01   2.2122825e-01   2.2165969e-01   2.4423825e-01
   2.4423825e-01   2.2133189e-01   2.2165969e-01   2.4429567e-01
   2.4429567e-01   2.2141407e-01   2.2165969e-01   2.4433959e-01
   2.4433959e-01   2.2147828e-01   2.2165969e-01   2.4437272e-01
   2.4437272e-01   2.2152775e-01   2.2165969e-01   2.4439737e-01
   2.4439737e-01   2.2156533e-01   2.2165969e-01   2.4441543e-01
   2.4441543e-01   2.2159348e-01   0.0000000e+00   1.7611556e-01
   1.7611556e-01   2.2161428e-01   0.0000000e+00   1.2600104e-01
   1.2600104e-01   1.8437238e-01   0.0000000e+00   8.9572149e-02
   8.9572149e-02   1.3023081e-01   0.0000000e+00   6.3228059e-02
   6.3228059e-02   9.2651572e-02   0.0000000e+00   4.4317215e-02
   4.4317215e-02   6.4982525e-02   0.0000000e+00   3.0881039e-02
   3.0881039e-02   4.4639190e-02   0.0000000e+00   2.1451522e-02
   2.1451522e-02   2.9967118e-02   0.0000000e+00   1.4931097e-02
   1.4931097e-02   1.9546204e-02   0.0000000e+00   1.0506152e-02
   1.0506152e-02   1.2249864e-02   0.0000000e+00   7.5792218e-03
   7.5792218e-03   7.2228124e-03   0.0000000e+00   5.7075510e-03
   5.7075510e-03   3.8288880e-03   0.0000000e+00   4.5682155e-03
   4.5682155e-03   1.5993919e-03   0.0000000e+00   3.9279315e-03
   3.9279315e-03   1.8761182e-04   0.0000000e+00   3.6198950e-03
   3.6198950e-03   0.0000000e+00   0.0000000e+00   3.5234134e-03
   3.5234134e-03   0.0000000e+00   0.0000000e+00   3.6331536e-03
   3.6331536e-03   0.0000000e+00   0.0000000e+00   3.9285146e-03
   3.9285146e-03   0.0000000e+00   0.0000000e+00   4.1938860e-03
   4.1938860e-03   0.0000000e+00   0.0000000e+00   4.4041288e-03
   4.4041288e-03   0.0000000e+00   0.0000000e+00   4.5685531e-03
   4.5685531e-03   0.0000000e+00   0.0000000e+00   4.6971771e-03
   4.6971771e-03   0.0000000e+00   0.0000000e+00   4.7978372e-03
   4.7978372e-03   0.0000000e+00   0.0000000e+00   4.8766199e-03
   4.8766199e-03   0.0000000e+00   0.0000000e+00   4.9382804e-03
   4.9382804e-03   0.0000000e+00   0.0000000e+00   4.9865399e-03
   4.9865399e-03   0.0000000e+00   0.0000000e+00   5.0243109e-03
   5.0243109e-03   0.0000000e+00   0.0000000e+00   5.0538729e-03
   5.0538729e-03   0.0000000e+00   0.0000000e+00   5.0770099e-03
   5.0770099e-03   0.0000000e+00   0.0000000e+00   5.0951184e-03
   5.0951184e-03   0.0000000e+00   6.8284517e-01   2.1554412e-01
   2.1554412e-01   0.0000000e+00   6.8284517e-01   3.7491937e-01
   3.7491937e-01   4.1552585e-02   6.8284517e-01   4.9395935e-01
   4.9395935e-01   2.2163446e-01   6.8284517e-01   5.7774150e-01
   5.7774150e-01   4.1407672e-01   6.8284517e-01   6.3767334e-01
   6.3767334e-01   4.7944537e-01   6.8284517e-01   6.7915951e-01
   6.7915951e-01   5.5778418e-01   6.8284517e-01   7.0646299e-01
   7.0646299e-01   6.1714490e-01   6.8284517e-01   7.2310816e-01
   7.2310816e-01   6.5914740e-01   6.8284517e-01   7.3218875e-01
   7.3218875e-01   6.8414279e-01   6.8284517e-01   7.3612583e-01
   7.3612583e-01   6.9855765e-01   6.8284517e-01   7.3673135e-01
   7.3673135e-01   7.0591279e-01   6.8284517e-01   7.3531837e-01
   7.3531837e-01   7.0861949e-01   6.8284517e-01   7.3280904e-01
   7.3280904e-01   7.0839082e-01   6.8284517e-01   7.2982790e-01
   7.2982790e-01   7.0644150e-01   6.8284517e-01   7.2677869e-01
   7.2677869e-01   7.0361111e-01   6.8284517e-01   7.2390554e-01
   7.2390554e-01   7.0045934e-01   6.8284517e-01   7.2134070e-01
   7.2134070e-01   6.9734081e-01   6.8284517e-01   7.1914065e-01
   7.1914065e-01   6.9446343e-01   6.8284517e-01   7.1731298e-01
   7.1731298e-01   6.9193334e-01   6.8284517e-01   7.1583574e-01
   7.1583574e-01   6.8978875e-01   6.8284517e-01   7.1467106e-01
   7.1467106e-01   6.8802492e-01   6.8284517e-01   7.1377428e-01
   7.1377428e-01   6.8661197e-01   6.8284517e-01   7.1309993e-01
   7.1309993e-01   6.8550725e-01   6.8284517e-01   7.1260526e-01
   7.1260526e-01   6.8466361e-01   6.8284517e-01   7.1225219e-01
   7.1225219e-01   6.8403456e-01   6.8284517e-01   7.1200810e-01
   7.1200810e-01   6.8357732e-01   6.8284517e-01   7.1184592e-01
   7.1184592e-01   6.8325436e-01   6.8284517e-01   7.1174380e-01
   7.1174380e-01   6.8303390e-01   6.8284517e-01   7.1168453e-01
   7.1168453e-01   6.8288982e-01   6.8284517e-01   7.1165485e-01
   7.1165485e-01   6.8280125e-01   6.8284517e-01   7.1164483e-01
   5.4513559e-01   0.0000000e+00   1.0000000e+00   8.7089589e-01
   8.7089589e-01   1.0589100e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   6.8800937e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.9588323e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   9.6626235e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.8088444e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   9.4667235e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.6119609e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   9.1958574e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.3776701e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.8443815e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.1643906e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.4544245e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.0857489e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.1685575e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.1130246e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.1056748e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.1137243e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.1143850e-01   1.0000000e+00   1.0000000e+00
   1.0000000e+00   8.1126814e-01   8.6193690e-01   1.0000000e+00
   1.0000000e+00   8.1127297e-01   8.6193690e-01   1.0000000e+00
   1.0000000e+00   8.1130561e-01   8.6193690e-01   1.0000000e+00
   1.0000000e+00   8.1130128e-01   8.6193690e-01   1.0000000e+00
   1.0000000e+00   8.1129533e-01   8.6193690e-01   1.0000000e+00
   1.0000000e+00   8.1129679e-01   8.6193690e-01   1.0000000e+00
   1.0000000e+00   8.1129781e-01   8.6193690e-01   1.0000000e+00
   1.0000000e+00   8.1129741e-01   8.6193690e-01   1.0000000e+00
