timestamp_ticks,amp_1,amp_2,amp_3,vol_sys,amp_sys,lum,r_l,b_l,fr_l,control_effort,elapsed_time_seconds
5716,0.7582160234451294,8.903493881225586,-36.88429641723633,11.87448501586914,45.95692825317383,3420.0,2.9124701023101807,112.65988159179688,3.5851528644561768,55.79999923706055,0.0
5942,0.7626047134399414,8.477736473083496,-35.040218353271484,11.850223541259766,43.79015350341797,3416.0,2.910875082015991,112.60115051269531,3.5811269283294678,55.79999923706055,0.39268064498901367
6168,0.821456253528595,8.074885368347168,-33.31600570678711,11.823026657104492,41.69017028808594,3420.0,2.910875082015991,112.6207275390625,3.5831398963928223,55.79999923706055,0.5118393898010254
6395,0.88343745470047,7.716346740722656,-31.753896713256836,11.795828819274902,39.84454345703125,3340.0,2.8183650970458984,112.6207275390625,3.466385841369629,55.79999923706055,0.6337795257568359
6622,0.9848988652229309,7.362843036651611,-30.22157859802246,11.788784980773926,37.99164581298828,3416.0,2.910875082015991,116.10525512695312,3.5831398963928223,55.79999923706055,0.7676820755004883
6848,0.8259528875350952,7.505692481994629,-30.87795639038086,11.788981437683105,38.77024841308594,3420.0,2.9124701023101807,112.64030456542969,3.5851528644561768,55.79999923706055,0.8855690956115723
7074,0.8998950123786926,7.161105632781982,-29.389442443847656,11.79367733001709,36.99595260620117,3420.0,2.910875082015991,112.6207275390625,3.5831398963928223,55.79999923706055,1.0019643306732178
7301,0.9883522391319275,6.817629814147949,-27.927043914794922,11.786633491516113,35.23569869995117,3348.0,2.819960117340088,112.60115051269531,3.4683990478515625,55.79999923706055,1.144770622253418
7527,0.9812116026878357,6.491333961486816,-26.551557540893555,11.790547370910645,33.596656799316406,3344.0,2.819960117340088,116.20313262939453,3.4683990478515625,55.79999923706055,1.2874255180358887
7753,0.8771601915359497,6.66163444519043,-27.343097686767578,11.790155410766602,34.61162185668945,3340.0,2.8183650970458984,116.16398620605469,3.466385841369629,55.79999923706055,1.4343373775482178
7980,0.7539892196655273,6.839540004730225,-28.15030288696289,11.789764404296875,35.57582092285156,3420.0,2.910875082015991,116.16398620605469,3.5831398963928223,55.79999923706055,1.559622049331665
8207,0.7342401146888733,7.021446228027344,-28.95162582397461,11.789959907531738,36.500083923339844,3348.0,2.816770076751709,112.64030456542969,3.4683990478515625,55.79999923706055,1.7573163509368896
8433,0.8310070633888245,6.675285816192627,-27.545629501342773,11.776459693908691,34.84758758544922,440.0,2.819960117340088,116.18356323242188,3.470412015914917,8.699999809265137,1.9576001167297363
8659,0.7526941895484924,6.855728626251221,-28.33580207824707,11.770785331726074,35.81660079956055,440.0,0.4194850027561188,22.33621597290039,0.4992239773273468,8.699999809265137,2.2277252674102783
8886,0.7208582758903503,6.524306774139404,-26.863950729370117,11.777241706848145,34.02404022216797,440.0,0.4194850027561188,22.355792999267578,0.4972109794616699,8.699999809265137,2.421535015106201
9112,0.7088612914085388,6.177216529846191,-25.410476684570312,11.780959129333496,32.31283187866211,436.0,0.4194850027561188,22.33621597290039,0.4972109794616699,8.699999809265137,2.6648871898651123
9339,0.624487042427063,5.873270034790039,-24.057268142700195,11.807373046875,30.678871154785156,436.0,0.4194850027561188,22.33621597290039,0.4972109794616699,8.699999809265137,2.959522008895874
9566,0.5078811049461365,5.581296920776367,-22.764850616455078,11.807765007019043,29.126602172851562,2352.0,0.4194850027561188,22.33621597290039,0.4972109794616699,42.0,3.137969970703125
9792,0.4335792064666748,5.286195755004883,-21.461101531982422,11.808156967163086,27.54411506652832,2296.0,2.020864963531494,85.0772933959961,2.4780030250549316,42.0,3.37040114402771
10018,0.5271445512771606,5.047751426696777,-20.45032501220703,11.824591636657715,26.331157684326172,2296.0,2.0192699432373047,85.09687042236328,2.480015993118286,42.0,3.5747697353363037
10245,0.6220768690109253,4.835737705230713,-19.517719268798828,11.829874992370605,25.228586196899414,2324.0,1.9586600065231323,85.0772933959961,2.4055349826812744,42.0,3.851393699645996
10471,0.6879611015319824,4.613367557525635,-18.54198455810547,11.845918655395508,24.048423767089844,2324.0,1.9363300800323486,88.6009750366211,2.3773529529571533,42.0,4.064133405685425
10699,0.5620741844177246,4.394058704376221,-17.54601287841797,11.872724533081055,22.77792739868164,2324.0,2.020864963531494,88.5813980102539,2.4820289611816406,42.0,4.277832508087158
10925,0.4425004720687866,4.180881977081299,-16.586042404174805,11.878984451293945,21.595849990844727,2328.0,1.9618500471115112,88.5813980102539,2.407547950744629,42.0,4.487112998962402
11152,0.3592953085899353,3.965468645095825,-15.715514183044434,11.895029067993164,20.56412124633789,2300.0,2.0192699432373047,88.56182098388672,2.480015993118286,42.0,4.733689546585083
