Tiempo_s,b_l,u
5.716,112.659881591797,55.7999992370605
5.942,112.601150512695,55.7999992370605
6.168,112.620727539062,55.7999992370605
6.395,112.620727539062,55.7999992370605
6.622,116.105255126953,55.7999992370605
6.848,112.64030456543,55.7999992370605
7.074,112.620727539062,55.7999992370605
7.301,112.601150512695,55.7999992370605
7.527,116.203132629395,55.7999992370605
7.753,116.163986206055,55.7999992370605
7.98,116.163986206055,55.7999992370605
8.207,112.64030456543,55.7999992370605
8.433,116.183563232422,8.69999980926514
8.659,22.3362159729004,8.69999980926514
8.886,22.3557929992676,8.69999980926514
9.112,22.3362159729004,8.69999980926514
9.339,22.3362159729004,8.69999980926514
9.566,22.3362159729004,42
9.792,85.0772933959961,42
10.018,85.0968704223633,42
10.245,85.0772933959961,42
10.471,88.6009750366211,42
10.699,88.5813980102539,42
10.925,88.5813980102539,42
11.152,88.5618209838867,42
11.379,85.0772933959961,42
11.606,88.5813980102539,42
11.833,85.1164474487305,42
12.06,88.5618209838867,42
12.286,85.0968704223633,42
12.513,85.1164474487305,42
12.74,88.5226745605469,42
12.966,85.0968704223633,42
13.193,85.1360244750977,42
13.42,88.5422515869141,42
13.647,85.1360244750977,42
13.873,88.5618209838867,42
14.1,88.6401290893555,42
14.326,85.0968704223633,42
14.553,85.3709335327148,42
14.78,88.6205520629883,42
15.007,85.0968704223633,42
15.233,88.6205520629883,42
15.459,88.5813980102539,42
15.686,88.5422515869141,42
15.912,85.0772933959961,42
16.138,86.7216796875,42
16.365,85.0772933959961,42
16.591,88.5618209838867,42
16.818,88.5422515869141,42
17.045,85.6841506958008,42
17.272,88.5813980102539,42
17.499,85.0381469726562,42
17.725,88.6401290893555,42
17.951,88.5618209838867,42
18.178,88.5618209838867,42
18.405,85.0772933959961,42
18.631,79.7526245117188,10.8999996185303
18.858,26.7016639709473,10.8999996185303
19.084,26.740816116333,10.8999996185303
19.311,26.7603912353516,10.8999996185303
19.538,26.7016639709473,10.8999996185303
19.765,26.6820888519287,10.8999996185303
19.993,26.7603912353516,10.8999996185303
20.22,26.740816116333,10.8999996185303
20.446,26.740816116333,10.8999996185303
20.672,26.740816116333,10.8999996185303
20.899,26.5646324157715,10.8999996185303
21.126,26.7212409973145,10.8999996185303
21.352,26.6820888519287,10.8999996185303
21.578,26.7016639709473,10.8999996185303
21.805,26.6820888519287,10.8999996185303
22.031,26.7799682617188,10.8999996185303
22.258,26.7603912353516,10.8999996185303
22.485,179.727249145508,89.5
22.712,180.392837524414,89.5
22.939,179.70768737793,89.5
23.166,126.617568969727,61.0999984741211
23.393,123.191764831543,61.0999984741211
23.62,126.108589172363,61.0999984741211
23.848,123.21134185791,61.0999984741211
24.074,123.230918884277,61.0999984741211
24.3,123.191764831543,61.0999984741211
24.526,123.17219543457,61.0999984741211
24.753,123.21134185791,61.0999984741211
24.979,126.617568969727,61.0999984741211
25.206,126.617568969727,61.0999984741211
